categories                                     ;code                                      ;description
Equipment & Magic, Talismans                   ;Crucible Scale Talisman                   ;A talisman fashioned from a scale that embodies the aspects of various creatures. Said to have grown on the human body long ago. Reduces damage taken from critical hits. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient  times, but is now increasingly disdained as an impurity as civilization has advanced.
Equipment & Magic, Talismans                   ;Crucible Feather Talisman                 ;A talisman fashioned from feathers that embody the aspects of various creatures. Improves the effectiveness of dodge rolls, but increases damage taken at all times. A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.
Equipment & Magic, Talismans                   ;Blue-Feathered Branchsword                ;A talisman adorned with blue feathers, once used in ancient death rituals. Raises defense when HP is low. The heart sings when one draws close to death, and thus does one cling so tenaciously to life - to render up a death worth offering.
Equipment & Magic, Talismans                   ;Ritual Shield Talisman                    ;A talisman patterned after shields used in ritual combat held to honor the Erdtree. Raises defense when HP is at maximum. The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.
Equipment & Magic, Talismans                   ;Greatshield Talisman                      ;Talisman depicting a knight holding a greatshield. Boosts guarding ability. The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword.
Equipment & Magic, Talismans                   ;Crucible Knot Talisman                    ;A talisman fashioned from a bony knot that embodies that aspects of various creatures. Reduces damage and impact of headshots taken. A vestige of the crucible of primordial life. Born partially of devolution,it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.
Equipment & Magic, Talismans                   ;Crimson Seed Talisman                     ;A crimson-colored talisman patterned after an Erdtree seed. Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.
Equipment & Magic, Talismans                   ;Cerulean Seed Talisman                    ;A cerulean-colored talisman patterned after an Erdtree seed. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.
Equipment & Magic, Talismans                   ;Blessed Dew Talisman                      ;Talisman depicting a drop of the Erdtree's sap, a blessed boon. Gradually restores HP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever -- but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.
Equipment & Magic, Talismans                   ;Taker's Cameo                             ;A talisman engraved with a stern likeness of Praetor Rykard,  master of Volcano Manor. Restores HP upon defeating enemies. When Rykard turned to heresy, taking by force became the rule.  The gods themselves were no different, after all.
Equipment & Magic, Talismans                   ;Godskin Swaddling Cloth                   ;Sacred cloth of the Godskin Apostles, made from supple skin sewn together. Successive attacks restore HP. The Gloam-Eyed Queen cradles newborn apostles swaddled in this cloth. Soon they will grow to become the death of the gods.
Equipment & Magic, Talismans                   ;Assassin's Crimson Dagger                 ;An assassin's dagger, misshapen and stained in crimson. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.
Equipment & Magic, Talismans                   ;Assassin's Cerulean Dagger                ;An assassin's dagger, misshapen and stained in cerulean. This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.
Equipment & Magic, Talismans                   ;Crepus's Vial                             ;Small mysterious bottle with a dark mist sealed within. Eliminates all sound made by the wearer during movement. A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared  nothing more than utter silence.
Equipment & Magic, Talismans                   ;Concealing Veil                           ;Talisman put together from dark cloth with a lustrous sheen. Completely conceals the wearer's presence while crouching at a distance from foes. Part of one of the concealing veils used by the assassins on the Night of Black Knives.
Equipment & Magic, Talismans                   ;Carian Filigreed Crest                    ;A talisman adorned with the royal crest. Lowers FP consumed by skills. An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.
